analyte,seq_id,uniprot,entrez_gene_symbol,target_full_name,accession
X13476.16,13476-16,O60870,KIN,DNA/RNA-binding protein KIN17,GCST90422163
X13477.65,13477-65,Q15722,LTB4R,Leukotriene B4 receptor 1,GCST90422164
X13479.8,13479-8,A8MVW0,FAM171A2,Protein FAM171A2,GCST90422165
X13481.24,13481-24,Q15560,TCEA2,Transcription elongation factor A protein 2,GCST90422166
X13482.14,13482-14,A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,GCST90422167
X13484.69,13484-69,P02452,COL1A1,Collagen alpha-1(I) chain:N-term propeptide,GCST90422168
X13485.20,13485-20,Q96K49,TMEM87B,Transmembrane protein 87B,GCST90422169
X13486.9,13486-9,Q13563,PKD2,Polycystin-2:Cytoplasmic domain 1,GCST90422170
X13487.24,13487-24,Q9H1C4,UNC93B1,Protein unc-93 homolog B1,GCST90422171
X13488.3,13488-3,P53367,ARFIP1,Arfaptin-1,GCST90422172
X13490.1,13490-1,Q9NZW5,MPP6,MAGUK p55 subfamily member 6,GCST90422173
X13491.40,13491-40,O43924,PDE6D,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",GCST90422174
X13492.44,13492-44,P38646,HSPA9,"Stress-70 protein, mitochondrial",GCST90422175
X13493.5,13493-5,Q9ULK0,GRID1,"Glutamate receptor ionotropic, delta-1",GCST90422176
X13494.6,13494-6,Q8N5B7,CERS5,Ceramide synthase 5,GCST90422177
X13495.48,13495-48,Q8TDS4,HCAR2,Hydroxycarboxylic acid receptor 2,GCST90422178
X13496.19,13496-19,Q01581,HMGCS1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",GCST90422179
X13497.34,13497-34,O75822,EIF3J,Eukaryotic translation initiation factor 3 subunit J,GCST90422180
X13498.1,13498-1,Q9UGB7,MIOX,Inositol oxygenase,GCST90422181
X13499.30,13499-30,P00451,F8,Coagulation Factor VIII,GCST90422182
X13501.10,13501-10,Q8TBE7,SLC35G2,Solute carrier family 35 member G2,GCST90422183
X13502.2,13502-2,Q86WA9,SLC26A11,Sodium-independent sulfate anion transporter,GCST90422184
X13503.19,13503-19,O75915,ARL6IP5,PRA1 family protein 3,GCST90422185
X13504.147,13504-147,O43390,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,GCST90422186
X13506.10,13506-10,Q9NX74,DUS2,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,GCST90422187
X13509.5,13509-5,Q8TAC9,SCAMP5,Secretory carrier-associated membrane protein 5,GCST90422188
X13510.7,13510-7,Q93084,ATP2A3,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,GCST90422189
X13511.29,13511-29,Q01826,SATB1,DNA-binding protein SATB1,GCST90422190
X13512.28,13512-28,O43390,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,GCST90422191
X13513.174,13513-174,Q9Y6X2,PIAS3,E3 SUMO-protein ligase PIAS3,GCST90422192
X13515.8,13515-8,Q96P16,RPRD1A,Regulation of nuclear pre-mRNA domain-containing protein 1A,GCST90422193
X13516.46,13516-46,Q5J8M3,EMC4,ER membrane protein complex subunit 4,GCST90422194
X13517.3,13517-3,Q3KNS1,PTCHD3,Patched domain-containing protein 3,GCST90422195
X13518.5,13518-5,O43150,ASAP2,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2",GCST90422196
X13519.112,13519-112,Q86VW2,ARHGEF25,Rho guanine nucleotide exchange factor 25,GCST90422197
X13522.20,13522-20,P62760,VSNL1,Visinin-like protein 1,GCST90422198
X13524.25,13524-25,Q96MM7,HS6ST2,Heparan-sulfate 6-O-sulfotransferase 2,GCST90422199
X13525.17,13525-17,Q8TDN1,KCNG4,Potassium voltage-gated channel subfamily G member 4,GCST90422200
X13526.5,13526-5,P05455,SSB,Lupus La protein:RNA recognition motif,GCST90422201
X13529.39,13529-39,Q9ULW6,NAP1L2,Nucleosome assembly protein 1-like 2,GCST90422202
X13530.5,13530-5,Q9UKP6,UTS2R,Urotensin-2 receptor,GCST90422203
X13532.25,13532-25,Q8N9A8,CNEP1R1,Nuclear envelope phosphatase-regulatory subunit 1,GCST90422204
X13534.20,13534-20,P54296,MYOM2,Myomesin-2,GCST90422205
X13535.2,13535-2,Q9Y5P4,CERT1,Collagen type IV alpha-3-binding protein:PH domain,GCST90422206
X13536.56,13536-56,Q9UNA4,POLI,DNA polymerase iota,GCST90422207
X13539.131,13539-131,Q92952,KCNN1,Small conductance calcium-activated potassium channel protein 1,GCST90422208
X13540.1,13540-1,Q8NDV2,GPR26,G-protein coupled receptor 26,GCST90422209
X13541.1,13541-1,Q8N699,MYCT1,Myc target protein 1,GCST90422210
X13543.7,13543-7,Q14914,PTGR1,Prostaglandin reductase 1,GCST90422211
X13544.9,13544-9,Q92619,ARHGAP45,Rho GTPase-activating protein 45,GCST90422212
X13545.97,13545-97,Q8N9N8,EIF1AD,Probable RNA-binding protein EIF1AD,GCST90422213
X13547.5,13547-5,P34969,HTR7,5-hydroxytryptamine receptor 7,GCST90422214
X13548.53,13548-53,Q5VZY2,PLPP4,Phosphatidate phosphatase PPAPDC1A,GCST90422215
X13549.15,13549-15,Q9UKF5,ADAM29,Disintegrin and metalloproteinase domain-containing protein 29,GCST90422216
X13552.7,13552-7,Q9UH65,SWAP70,Switch-associated protein 70,GCST90422217
X13553.4,13553-4,Q8IWE4,DCUN1D3,DCN1-like protein 3,GCST90422218
X13554.78,13554-78,Q9BWE0,REPIN1,Replication initiator 1,GCST90422219
X13556.28,13556-28,P28223,HTR2A,5-hydroxytryptamine receptor 2A,GCST90422220
X13557.3,13557-3,Q9NQS3,NECTIN3,Nectin-3,GCST90422221
X13561.5,13561-5,P50406,HTR6,5-hydroxytryptamine receptor 6,GCST90422222
X13563.259,13563-259,Q8N6N7,ACBD7,Acyl-CoA-binding domain-containing protein 7,GCST90422223
X13565.2,13565-2,Q08999,RBL2,Retinoblastoma-like protein 2,GCST90422224
X13566.2,13566-2,Q9NP77,SSU72,RNA polymerase II subunit A C-terminal domain phosphatase SSU72,GCST90422225
X13568.30,13568-30,P55036,PSMD4,26S proteasome non-ATPase regulatory subunit 4,GCST90422226
X13570.43,13570-43,Q00341,HDLBP,Vigilin,GCST90422227
X13572.43,13572-43,O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,GCST90422228
X13573.5,13573-5,O15145,ARPC3,Actin-related protein 2/3 complex subunit 3,GCST90422229
X13574.50,13574-50,Q92730,RND1,Rho-related GTP-binding protein Rho6,GCST90422230
X13575.40,13575-40,O14641,DVL2,Segment polarity protein dishevelled homolog DVL-2,GCST90422231
X13576.15,13576-15,P09211,GSTP1,Glutathione S-transferase P,GCST90422232
X13577.25,13577-25,P26368,U2AF2,Splicing factor U2AF 65 kDa subunit,GCST90422233
X13578.98,13578-98,O94929,ABLIM3,Actin-binding LIM protein 3,GCST90422234
X13580.2,13580-2,Q16222,UAP1,UDP-N-acetylhexosamine pyrophosphorylase,GCST90422235
X13583.19,13583-19,O14727,APAF1,Apoptotic protease-activating factor 1,GCST90422236
X13587.10,13587-10,Q9H0H5,RACGAP1,Rac GTPase-activating protein 1,GCST90422237
X13588.11,13588-11,O76027,ANXA9,Annexin A9,GCST90422238
X13589.10,13589-10,O95704,APBB3,"Amyloid beta A4 precursor protein-binding family B member 3:Phosphotyrosine Interaction Domain 2, Isoform IV",GCST90422239
X13590.1,13590-1,Q9Y3B8,REXO2,"Oligoribonuclease, mitochondrial",GCST90422240
X13591.31,13591-31,P49642,PRIM1,DNA primase small subunit,GCST90422241
X13594.158,13594-158,Q9UJY5,GGA1,ADP-ribosylation factor-binding protein GGA1,GCST90422242
X13595.20,13595-20,Q9BU02,THTPA,Thiamine-triphosphatase,GCST90422243
X13596.3,13596-3,O00194,RAB27B,Ras-related protein Rab-27B,GCST90422244
X13597.20,13597-20,Q13636,RAB31,Ras-related protein Rab-31,GCST90422245
X13599.15,13599-15,Q7Z6M1,RABEPK,Rab9 effector protein with kelch motifs,GCST90422246
X13602.6,13602-6,P55769,SNU13,NHP2-like protein 1,GCST90422247
X13603.7,13603-7,Q8TAC1,RFESD,Rieske domain-containing protein,GCST90422248
X13604.27,13604-27,O76050,NEURL1,E3 ubiquitin-protein ligase NEURL1,GCST90422249
X13605.16,13605-16,Q9UJ72,ANXA10,Annexin A10,GCST90422250
X13609.11,13609-11,P78347,GTF2I,General transcription factor II-I,GCST90422251
X13610.9,13610-9,P43363,MAGEA10,Melanoma-associated antigen 10,GCST90422252
X13612.7,13612-7,O60759,CYTIP,Cytohesin-interacting protein,GCST90422253
X13613.23,13613-23,Q9Y6K8,AK5,Adenylate kinase isoenzyme 5,GCST90422254
X13615.60,13615-60,O43639,NCK2,Cytoplasmic protein NCK2,GCST90422255
X13618.15,13618-15,Q9Y6D9,MAD1L1,Mitotic spindle assembly checkpoint protein MAD1,GCST90422256
X13620.10,13620-10,O43681,GET3,ATPase ASNA1,GCST90422257
X13621.31,13621-31,O94973,AP2A2,AP-2 complex subunit alpha-2,GCST90422258
X13622.16,13622-16,Q15172,PPP2R5A,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,GCST90422259
X13623.4,13623-4,O14686,KMT2D,Histone-lysine N-methyltransferase 2D,GCST90422260
X13624.17,13624-17,O95544,NADK,NAD kinase,GCST90422261
X13625.19,13625-19,P05455,SSB,Lupus La protein:HTH La-type RNA-binding domain,GCST90422262
X13628.58,13628-58,Q14449,GRB14,Growth factor receptor-bound protein 14,GCST90422263
X13629.25,13629-25,Q9Y4P1,ATG4B,Cysteine protease ATG4B,GCST90422264
X13631.1,13631-1,Q15291,RBBP5,Retinoblastoma-binding protein 5,GCST90422265
X13632.10,13632-10,Q15942,ZYX,Zyxin,GCST90422266
X13634.209,13634-209,O00625,PIR,Pirin,GCST90422267
X13636.20,13636-20,P55209,NAP1L1,Nucleosome assembly protein 1-like 1,GCST90422268
X13639.101,13639-101,O60763,USO1,General vesicular transport factor p115,GCST90422269
X13640.5,13640-5,P41182,BCL6,B-cell lymphoma 6 protein,GCST90422270
X13642.90,13642-90,O14879,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,GCST90422271
X13644.30,13644-30,O14964,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,GCST90422272
X13645.14,13645-14,Q92620,DHX38,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,GCST90422273
X13650.11,13650-11,Q9NZI2,KCNIP1,Kv channel-interacting protein 1,GCST90422274
X13651.54,13651-54,Q96JP5,ZFP91,E3 ubiquitin-protein ligase ZFP91,GCST90422275
X13652.2,13652-2,O75674,TOM1L1,TOM1-like protein 1,GCST90422276
X13653.335,13653-335,Q9BQ69,MACROD1,O-acetyl-ADP-ribose deacetylase MACROD1,GCST90422277
X13654.1,13654-1,O75116,ROCK2,Rho-associated protein kinase 2,GCST90422278
X13655.34,13655-34,P19338,NCL,Nucleolin,GCST90422279
X13657.2,13657-2,Q96T60,PNKP,Bifunctional polynucleotide phosphatase/kinase,GCST90422280
X13658.31,13658-31,Q9NRA1,PDGFC,Platelet-derived growth factor C,GCST90422281
X13659.36,13659-36,Q9HD20,ATP13A1,Manganese-transporting ATPase 13A1,GCST90422282
X13660.76,13660-76,O15123,ANGPT2,Angiopoietin-2,GCST90422283
X13661.193,13661-193,P28325,CST5,Cystatin-D,GCST90422284
X13663.2,13663-2,P05112,IL4,Interleukin-4,GCST90422285
X13665.35,13665-35,Q06190,PPP2R3A,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha,GCST90422286
X13666.222,13666-222,Q9NS85,CA10,Carbonic anhydrase-related protein 10,GCST90422287
X13668.44,13668-44,Q06418,TYRO3,Tyrosine-protein kinase receptor TYRO3,GCST90422288
X13669.6,13669-6,P22607,FGFR3,Fibroblast growth factor receptor 3:Extracellular domain,GCST90422289
X13670.81,13670-81,Q9NZK7,PLA2G2E,Group IIE secretory phospholipase A2,GCST90422290
X13671.40,13671-40,P08246,ELANE,Neutrophil elastase,GCST90422291
X13672.3,13672-3,P17066,HSPA6,Heat shock 70 kDa protein 6,GCST90422292
X13673.21,13673-21,Q99832,CCT7,T-complex protein 1 subunit eta,GCST90422293
X13676.46,13676-46,P09529,INHBB,Inhibin beta B chain,GCST90422294
X13678.169,13678-169,P00746,CFD,Complement factor D,GCST90422295
X13680.3,13680-3,Q15742,NAB2,NGFI-A-binding protein 2,GCST90422296
X13681.173,13681-173,P19784,CSNK2A2,Casein kinase II subunit alpha',GCST90422297
X13682.47,13682-47,P07333,CSF1R,Macrophage colony-stimulating factor 1 receptor,GCST90422298
X13686.2,13686-2,Q01344,IL5RA,Interleukin-5 receptor subunit alpha,GCST90422299
X13687.5,13687-5,P22362,CCL1,C-C motif chemokine 1,GCST90422300
X13688.2,13688-2,Q8WWF8,CAPSL,Calcyphosin-like protein,GCST90422301
X13689.2,13689-2,P11926,ODC1,Ornithine decarboxylase,GCST90422302
X13690.26,13690-26,P21810,BGN,Biglycan,GCST90422303
X13691.10,13691-10,Q8N695,SLC5A8,Sodium-coupled monocarboxylate transporter 1,GCST90422304
X13692.154,13692-154,O95388,CCN4,WNT1-inducible-signaling pathway protein 1,GCST90422305
X13693.5,13693-5,Q49AH0,CDNF,Cerebral dopamine neurotrophic factor,GCST90422306
X13694.24,13694-24,Q9HC73,CRLF2,Cytokine receptor-like factor 2,GCST90422307
X13697.51,13697-51,P21695,GPD1,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",GCST90422308
X13698.28,13698-28,Q8IZA0,KIAA0319L,Dyslexia-associated protein KIAA0319-like protein,GCST90422309
X13699.6,13699-6,P07288,KLK3,Prostate-specific antigen,GCST90422310
X13700.10,13700-10,P07355,ANXA2,Annexin A2,GCST90422311
X13701.2,13701-2,O43927,CXCL13,C-X-C motif chemokine 13,GCST90422312
X13704.5,13704-5,P54868,HMGCS2,"Hydroxymethylglutaryl-CoA synthase, mitochondrial",GCST90422313
X13706.12,13706-12,P42701,IL12RB1,Interleukin-12 receptor subunit beta-1,GCST90422314
X13707.27,13707-27,Q14515,SPARCL1,SPARC-like protein 1,GCST90422315
X13708.56,13708-56,O60259,KLK8,Kallikrein-8,GCST90422316
X13710.6,13710-6,P05155,SERPING1,Plasma protease C1 inhibitor,GCST90422317
X13711.10,13711-10,Q00610,CLTC,Clathrin heavy chain 1,GCST90422318
X13712.104,13712-104,P12544,GZMA,Granzyme A,GCST90422319
X13717.15,13717-15,Q15485,FCN2,Ficolin-2,GCST90422320
X13719.19,13719-19,O96013,PAK4,Serine/threonine-protein kinase PAK 4,GCST90422321
X13720.95,13720-95,P24158,PRTN3,Myeloblastin,GCST90422322
X13722.105,13722-105,P02748,C9,Complement component C9,GCST90422323
X13723.6,13723-6,P22301,IL10,Interleukin-10,GCST90422324
X13724.27,13724-27,O95750,FGF19,Fibroblast growth factor 19,GCST90422325
X13725.3,13725-3,O43320,FGF16,Fibroblast growth factor 16,GCST90422326
X13726.4,13726-4,P33681,CD80,T-lymphocyte activation antigen CD80,GCST90422327
X13727.44,13727-44,O43791,SPOP,Speckle-type POZ protein,GCST90422328
X13728.19,13728-19,P30040,ERP29,Endoplasmic reticulum resident protein 29,GCST90422329
X13729.26,13729-26,Q8TD22,SFXN5,Sideroflexin-5,GCST90422330
X13730.18,13730-18,P53634,CTSC,Dipeptidyl peptidase 1,GCST90422331
X13731.14,13731-14,P10643,C7,Complement component C7,GCST90422332
X13732.79,13732-79,Q16619,CTF1,Cardiotrophin-1,GCST90422333
X13733.5,13733-5,P29460,IL12B,Interleukin-12 subunit beta,GCST90422334
X13734.22,13734-22,Q8IU54,IFNL1,Interferon lambda-1,GCST90422335
X13735.1,13735-1,P47736,RAP1GAP,Rap1 GTPase-activating protein 1,GCST90422336
X13738.8,13738-8,P08476,INHBA,Inhibin beta A chain,GCST90422337
X13739.3,13739-3,Q9NZU1,FLRT1,Leucine-rich repeat transmembrane protein FLRT1,GCST90422338
X13740.51,13740-51,Q92765,FRZB,Secreted frizzled-related protein 3,GCST90422339
X13741.36,13741-36,P08833,IGFBP1,Insulin-like growth factor-binding protein 1,GCST90422340
X13742.66,13742-66,Q9GZX6,IL22,Interleukin-22,GCST90422341
X13743.56,13743-56,Q13620,CUL4B,Cullin-4B,GCST90422342
X13744.37,13744-37,P26951,IL3RA,Interleukin-3 receptor subunit alpha,GCST90422343
X13745.10,13745-10,Q13563,PKD2,Polycystin-2:Cytoplasmic domain 4,GCST90422344
X13747.9,13747-9,P23280,CA6,Carbonic anhydrase 6,GCST90422345
X13748.4,13748-4,P80075,CCL8,C-C motif chemokine 8,GCST90422346
X13924.13,13924-13,P0CAP1,MYZAP,Myocardial zonula adherens protein,GCST90422347
X13926.1,13926-1,Q9H9A7,RMI1,RecQ-mediated genome instability protein 1,GCST90422348
X13929.27,13929-27,Q9UKG9,CROT,Peroxisomal carnitine O-octanoyltransferase,GCST90422349
X13930.3,13930-3,Q9HC16,APOBEC3G,DNA dC->dU-editing enzyme APOBEC-3G,GCST90422350
X13931.22,13931-22,O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,GCST90422351
X13932.45,13932-45,Q14155,ARHGEF7,Rho guanine nucleotide exchange factor 7,GCST90422352
X13933.276,13933-276,Q13506,NAB1,NGFI-A-binding protein 1,GCST90422353
X13934.3,13934-3,O15068,MCF2L,Guanine nucleotide exchange factor DBS,GCST90422354
X13936.24,13936-24,P07205,PGK2,Phosphoglycerate kinase 2,GCST90422355
X13937.75,13937-75,Q86VP6,CAND1,Cullin-associated NEDD8-dissociated protein 1,GCST90422356
X13939.14,13939-14,Q16851,UGP2,UTP--glucose-1-phosphate uridylyltransferase,GCST90422357
X13940.19,13940-19,Q16666,IFI16,"Gamma-interferon-inducible protein 16:Isoform 2, Hematopoietic expression, interferon-inducible nature, and nuclear localization 1",GCST90422358
X13941.82,13941-82,O95363,FARS2,"Phenylalanine--tRNA ligase, mitochondrial",GCST90422359
X13942.140,13942-140,Q96BD6,SPSB1,SPRY domain-containing SOCS box protein 1,GCST90422360
X13943.38,13943-38,Q9C005,DPY30,Protein dpy-30 homolog,GCST90422361
X13944.3,13944-3,P0DMM9,SULT1A3,Sulfotransferase 1A3,GCST90422362
X13946.8,13946-8,Q9BUQ8,DDX23,Probable ATP-dependent RNA helicase DDX23,GCST90422363
X13947.371,13947-371,Q9BQG2,NUDT12,Peroxisomal NADH pyrophosphatase NUDT12,GCST90422364
X13948.50,13948-50,O75899,GABBR2,Gamma-aminobutyric acid type B receptor subunit 2:Extracellular domain,GCST90422365
X13950.9,13950-9,Q9Y5P4,CERT1,"Collagen type IV alpha-3-binding protein:StAR-related lipid-transfer domain, isoform 2",GCST90422366
X13954.9,13954-9,Q96EK6,GNPNAT1,Glucosamine 6-phosphate N-acetyltransferase,GCST90422367
X13955.33,13955-33,P53355,DAPK1,Death-associated protein kinase 1,GCST90422368
X13958.5,13958-5,Q8TBY0,RBM46,Probable RNA-binding protein 46,GCST90422369
X13959.7,13959-7,P28838,LAP3,Cytosol aminopeptidase,GCST90422370
X13960.15,13960-15,Q96P47,AGAP3,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3",GCST90422371
X13961.18,13961-18,Q9Y496,KIF3A,Kinesin-like protein KIF3A,GCST90422372
X13963.7,13963-7,Q9H0E2,TOLLIP,Toll-interacting protein,GCST90422373
X13966.30,13966-30,Q5VTT5,MYOM3,Myomesin-3,GCST90422374
X13967.14,13967-14,Q16881,TXNRD1,"Thioredoxin reductase 1, cytoplasmic",GCST90422375
X13969.24,13969-24,O60684,KPNA6,Importin subunit alpha-7,GCST90422376
X13972.4,13972-4,Q9BPX1,HSD17B14,17-beta-hydroxysteroid dehydrogenase 14,GCST90422377
X13973.62,13973-62,Q8NG68,TTL,Tubulin--tyrosine ligase,GCST90422378
X13975.56,13975-56,Q13136,PPFIA1,Liprin-alpha-1,GCST90422379
X13976.9,13976-9,Q92888,ARHGEF1,Rho guanine nucleotide exchange factor 1,GCST90422380
X13977.28,13977-28,Q99728,BARD1,BRCA1-associated RING domain protein 1,GCST90422381
X13978.122,13978-122,O15119,TBX3,T-box transcription factor TBX3,GCST90422382
X13979.3,13979-3,Q8TE54,SLC26A7,Anion exchange transporter,GCST90422383
X13982.33,13982-33,Q9NS28,RGS18,Regulator of G-protein signaling 18,GCST90422384
X13983.27,13983-27,Q08257,CRYZ,Quinone oxidoreductase,GCST90422385
X13984.23,13984-23,Q9UHL0,DDX25,ATP-dependent RNA helicase DDX25,GCST90422386
X13985.12,13985-12,Q9HAU4,SMURF2,E3 ubiquitin-protein ligase SMURF2,GCST90422387
X13986.6,13986-6,O43813,LANCL1,LanC-like protein 1,GCST90422388
X13988.67,13988-67,Q9HBL8,NMRAL1,NmrA-like family domain-containing protein 1,GCST90422389
X13990.1,13990-1,P11498,PC,"Pyruvate carboxylase, mitochondrial",GCST90422390
X13991.47,13991-47,O43432,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,GCST90422391
X13992.12,13992-12,P46459,NSF,Vesicle-fusing ATPase,GCST90422392
X13993.20,13993-20,Q9H4G0,EPB41L1,Band 4.1-like protein 1,GCST90422393
X13994.1,13994-1,P22087,FBL,rRNA 2'-O-methyltransferase fibrillarin,GCST90422394
X13996.16,13996-16,Q96CD2,PPCDC,Phosphopantothenoylcysteine decarboxylase,GCST90422395
X13998.26,13998-26,Q8N142,ADSS1,Adenylosuccinate synthetase isozyme 1,GCST90422396
X14002.18,14002-18,Q9BZ29,DOCK9,Dedicator of cytokinesis protein 9,GCST90422397
X14005.2,14005-2,Q9P2D1,CHD7,Chromodomain-helicase-DNA-binding protein 7,GCST90422398
X14006.36,14006-36,Q14749,GNMT,Glycine N-methyltransferase,GCST90422399
X14007.22,14007-22,O43252,PAPSS1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,GCST90422400
X14008.22,14008-22,Q9NPI6,DCP1A,mRNA-decapping enzyme 1A,GCST90422401
X14009.65,14009-65,P21580,TNFAIP3,Tumor necrosis factor alpha-induced protein 3,GCST90422402
X14011.17,14011-17,P31949,S100A11,Protein S100-A11,GCST90422403
X14012.17,14012-17,Q96C10,DHX58,Probable ATP-dependent RNA helicase DHX58,GCST90422404
X14013.11,14013-11,Q92844,TANK,TRAF family member-associated NF-kappa-B activator,GCST90422405
X14019.73,14019-73,Q92817,EVPL,Envoplakin,GCST90422406
X14021.81,14021-81,Q9NPJ6,MED4,Mediator of RNA polymerase II transcription subunit 4,GCST90422407
X14022.17,14022-17,Q9UHF5,IL17B,Interleukin-17B,GCST90422408
X14023.84,14023-84,P21815,IBSP,Bone sialoprotein 2,GCST90422409
X14024.196,14024-196,Q92838,EDA,"Ectodysplasin-A, secreted form",GCST90422410
X14025.18,14025-18,Q07011,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,GCST90422411
X14026.24,14026-24,Q96PD4,IL17F,Interleukin-17F,GCST90422412
X14028.22,14028-22,O00443,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,GCST90422413
X14029.42,14029-42,P61201,COPS2,COP9 signalosome complex subunit 2,GCST90422414
X14030.21,14030-21,P23510,TNFSF4,Tumor necrosis factor ligand superfamily member 4,GCST90422415
X14031.18,14031-18,P21781,FGF7,Fibroblast growth factor 7,GCST90422416
X14032.2,14032-2,P15692,VEGFA,"Vascular endothelial growth factor A, isoform 121",GCST90422417
X14034.22,14034-22,P09758,TACSTD2,Tumor-associated calcium signal transducer 2,GCST90422418
X14035.13,14035-13,Q13009,TIAM1,T-lymphoma invasion and metastasis-inducing protein 1,GCST90422419
X14036.116,14036-116,O75970,MPDZ,Multiple PDZ domain protein,GCST90422420
X14037.18,14037-18,Q9H6Z4,RANBP3,Ran-binding protein 3,GCST90422421
X14038.130,14038-130,O76096,CST7,Cystatin-F,GCST90422422
X14039.33,14039-33,Q9Y337,KLK5,Kallikrein-5,GCST90422423
X14041.13,14041-13,P10144,GZMB,Granzyme B,GCST90422424
X14042.11,14042-11,Q8N474,SFRP1,Secreted frizzled-related protein 1,GCST90422425
X14043.12,14043-12,Q15075,EEA1,Early endosome antigen 1,GCST90422426
X14045.12,14045-12,Q15596,NCOA2,Nuclear receptor coactivator 2,GCST90422427
X14047.78,14047-78,P23560,BDNF,Brain-derived neurotrophic factor,GCST90422428
X14048.7,14048-7,Q9NPH3,IL1RAP,Interleukin-1 Receptor accessory protein,GCST90422429
X14049.17,14049-17,P13232,IL7,Interleukin-7,GCST90422430
X14050.61,14050-61,P52798,EFNA4,Ephrin-A4,GCST90422431
